Year	Country	What we tested	What we hoped to learn	What we learnt
2022	Bangladesh	Which type of script would attract the audience more	Which type of script would attract the audience more, normal or stylish	Bengali stylish font they like much (Young Generation)
2022	Bangladesh	Does BD audience like emotional script more or not	Does BD audience like emotional script more or not	They like our script format and BD people really fell the pain of other sadness
2022	Bangladesh	Which things the audience like most, Still image, BG Video or only script	Which things the audience like most, Still image, BG Video or only script	Still images is good, they choose it.
2022	Indonesia	Scripts / Keywords	Which topic‚ finance, relationships, or career/job is most likely to capture and hold the interest of our target audience	"Career / Job won 
 Cost per ITJ AUD0.0051"
2022	Indonesia	Format	Which content format‚multiple image, single image, video, or animation, does the audience find most engaging	"Animation won 
 Cost per ITJ AUD0.0036"
2022	Indonesia	First few frame of the content	Which visual element‚ original animation, text with a dark background, text with a light background, or photo, most effectively keeps the audience watching	"Text with dark background won
Cost per ITJ AUD0.0031"
2022	Indonesia	Scripts / Keywords	Which keyword‚hell, a place full of torment, or a scary place‚ is most likely to interest the audience	"Keyword Hell won
Cost per ITJ AUD0.0030"
2022	Indonesia	Format	Which format‚video, waveform animation, image, or abstract footage‚ does the audience find most engaging	"Abstract footage won
Cost per ITJ AUD0.0023"
2022	Indonesia	First few frame of the content	Which visual element‚abstract footage, text with dark background, text with light background, or footage‚most effectively keeps the audience watching	"Abstract footage won
 Cost per ITJ AUD0.0015"
2022	Indonesia	Scripts / Keywords	Which keyword‚hope, brighter future, or better life‚is most likely to capture the audience‚attention	"Keyword 'Hope' won
Cost per ITJ AUD0.0015"
2022	Indonesia	Format	Which format‚single image with text, multiple images with text, footage, or Synthesia video‚does the audience find most engaging	"Single Image with text won
Cost per ITJ AUD0.0021"
2022	Indonesia	Scripts / Keywords	"What reason is most relevant to the audience about getting a job
 Because of their age too old, lack skills or education too low"	"Reason education too low to get a job won
Cost per ITJ AUD0.0055"
2022	Indonesia	Format	Which format would interest the audience more; - Single Image with text; - Video; - Animation; - Synthesia	"Video with text won
Cost per ITJ AUD0.0025"
2022	Indonesia	Scripts / Keywords	What reason is the most relevant to the audience; - to fulfill their lust; - to fill their loneliness; - to get acceptance	"Reason to fulfill their lust won
Cost per ITJ AUD0.0067"
2022	Indonesia	Format	Which format would interest the audience more; - Socmed Chat layout; - Image with bubble chat; - Video with bubble chat; - Animation chat	"Animation won 
Cost per ITJ AUD0.0028"
