language,format,resource_link,source_link
jpn,Audio Recordings,https://globalrecordings.net/en/language/jpn,https://www.globalrecordings.net
jpn,Film / Video,https://www.simplythestory.org/index.php/gods-story-gs/watch-gs?view=category&amp;id=610,https://www.gods-story.org
jpn,Film / Video,https://www.indigitube.tv/?s=Japanese,https://www.createinternational.com
jpn,Film / Video,https://www.jesusfilm.org/watch/jesus.html/japanese.html,https://www.jesusfilm.org
jpn,Film / Video,https://www.fathersloveletter.com/Japanese,https://www.fathersloveletter.com/flllanguages.html
jpn,Film / Video,https://www.lumoproject.com/,https://www.lumoproject.com/
jpn,Film / Video,https://www.jesusfilm.org/watch/magdalena.html/japanese.html,https://www.jesusfilm.org
jpn,Film / Video,https://www.jesusfilm.org/watch/my-last-day.html/japanese.html,https://www.jesusfilm.org
jpn,Film / Video,https://rockintl.org/rock-video/japanese-king-of-glory/,https://rockintl.org/king-of-glory/
jpn,Film / Video,https://www.jesusfilm.org/watch/the-story-of-jesus-for-children/japanese.html,https://www.jesusfilm.org
jpn,Film / Video,https://www.mars-hill.org/the-hope/store/the-hope/grid,https://mars-hill.org/
jpn,Film / Video,https://worldchristianvideos.org/language/list?q=All,https://www.worldchristianvideos.org
jpn,General,https://bibleforchildren.org/languages/japanese/stories.php,https://bibleforchildren.org/
jpn,General,https://www.gotquestions.org/Japanese/index.html,https://www.gotquestions.org
jpn,General,https://live.bible.is/bible/JPNCJV,https://www.faithcomesbyhearing.com/
jpn,General,https://live.bible.is/bible/JPNJCB,https://www.faithcomesbyhearing.com/
jpn,General,https://live.bible.is/bible/JPNNIT,https://www.faithcomesbyhearing.com/
jpn,General,https://www.scriptureearth.org/00i-Scripture_Index.php?iso=jpn,https://www.scriptureearth.org
jpn,General,https://www.vm1.tv/ja/,https://www.persecution.com/
jpn,General,https://www.bible.com/languages/jpn,https://www.bible.com/versions
jpn,Mobile App,https://app.scriptoria.io/api/products/d17001b9-48fa-41a0-829a-3069e751300c/files/published/apk,https://www.sil.org/
jpn,Mobile App,https://play.google.com/store/apps/details?id=com.sirma.mobile.bible.android&hl=ja,https://www.bible.com/versions
jpn,Mobile App,https://play.google.com/store/apps/details?id=net.wifibible.japanese,
jpn,Mobile App,https://play.google.com/store/apps/details?id=com.biblica.japanese,https://play.google.com/store/apps/dev?id=7933427918774029013
jpn,Mobile App,https://itunes.apple.com/app/bible/id282935706,https://www.bible.com/versions
jpn,Text / Printed Matter,https://www.biblegateway.com/versions/,https://www.biblegateway.com
jpn,Text / Printed Matter,https://www.freecartoontract.com/download/,
jpn,Text / Printed Matter,https://library.onehope.net/resources/typeMain?language=55,https://onehope.net/
jpn,Text / Printed Matter,https://knowgod.com/ja,https://www.cru.org/
jpn,Text / Printed Matter,https://www.wmpress.org/read-booklet/,https://www.wmpress.org/read-booklet/languages-produced/
mya,Audio Recordings,https://globalrecordings.net/en/language/mya,https://www.globalrecordings.net
mya,Film / Video,https://www.simplythestory.org/index.php/gods-story-gs/watch-gs?view=category&amp;id=362,https://www.gods-story.org
mya,Film / Video,https://www.indigitube.tv/?s=Bamar+Burmese,https://www.createinternational.com
mya,Film / Video,https://www.jesusfilm.org/watch/jesus.html/burmese-standard.html,https://www.jesusfilm.org
mya,Film / Video,https://www.lumoproject.com/,https://www.lumoproject.com/
mya,Film / Video,https://www.jesusfilm.org/watch/magdalena.html/burmese-standard.html,https://www.jesusfilm.org
mya,Film / Video,https://www.jesusfilm.org/watch/my-last-day.html/burmese-standard.html,https://www.jesusfilm.org
mya,Film / Video,https://rockintl.org/rock-video/burmese-king-of-glory/,https://rockintl.org/king-of-glory/
mya,Film / Video,https://www.jesusfilm.org/watch/the-story-of-jesus-for-children/burmese-standard.html,https://www.jesusfilm.org
mya,Film / Video,https://www.mars-hill.org/the-hope/store/the-hope/grid,https://mars-hill.org/
mya,Film / Video,https://worldchristianvideos.org/language/list?q=All,https://www.worldchristianvideos.org
mya,General,https://bibleforchildren.org/languages/burmese/stories.php,https://bibleforchildren.org/
mya,General,https://www.gotquestions.org/Myanmar/,https://www.gotquestions.org
mya,General,https://live.bible.is/bible/MYABJB,https://www.faithcomesbyhearing.com/
mya,General,https://live.bible.is/bible/MYAGBI,https://www.faithcomesbyhearing.com/
mya,General,https://live.bible.is/bible/MYAOJV,https://www.faithcomesbyhearing.com/
mya,General,https://www.scriptureearth.org/00i-Scripture_Index.php?iso=mya,https://www.scriptureearth.org
mya,General,https://www.vm1.tv/my/,https://www.persecution.com/
mya,General,https://www.bible.com/languages/mya,https://www.bible.com/versions
mya,Mobile App,https://app.scriptoria.io/api/products/a4adb748-0497-4e72-9bb3-ca5a999a8313/files/published/apk,https://www.sil.org/
mya,Mobile App,https://play.google.com/store/apps/details?id=com.sirma.mobile.bible.android&hl=my,https://www.bible.com/versions
mya,Mobile App,https://play.google.com/store/apps/details?id=org.mcpb.myanmardcbible.com,
mya,Mobile App,https://play.google.com/store/apps/details?id=org.open3905.burmesebible,https://play.google.com/store/apps/dev?id=5533032880446318981
mya,Mobile App,https://play.google.com/store/apps/details?id=org.open3905.burmesebiblegarrad,https://play.google.com/store/apps/dev?id=5533032880446318981
mya,Mobile App,https://play.google.com/store/apps/details?id=com.burmachronicle.burmese.jsb,
mya,Mobile App,https://play.google.com/store/apps/details?id=com.burmachronicle.burmese.jsb.hd,
mya,Mobile App,https://play.google.com/store/apps/details?id=org.globalbibleinitiative.myanmar.msb,
mya,Mobile App,https://play.google.com/store/apps/details?id=org.globalbibleinitiative.myanmar.msbz,
mya,Mobile App,https://play.google.com/store/apps/details?id=de.lightofthescriptures.injil.myanmar,
mya,Mobile App,https://play.google.com/store/apps/details?id=org.batupuei.hgm.matu,
mya,Mobile App,https://apk.fcbh.org/Burmese_MSB,https://www.faithcomesbyhearing.com/
mya,Mobile App,https://apk.fcbh.org/Burmese_Old_Judson_Version,https://www.faithcomesbyhearing.com/
mya,Mobile App,https://itunes.apple.com/app/bible/id282935706,https://www.bible.com/versions
mya,Mobile App,https://apps.apple.com/us/app/myanmar-bible-garrad/id1230274195,https://apps.apple.com/us/developer/cing-sian-dal/id1229991175
mya,Text / Printed Matter,https://www.superbible.tv/read-the-bible/read-the-bible-burmese,https://www.superbible.tv/
mya,Text / Printed Matter,https://www.literacyevangelism.org/primers/burmese,https://www.literacyevangelism.org
mya,Text / Printed Matter,https://www.fathersloveletter.com/Burma,https://www.fathersloveletter.com/flllanguages.html
mya,Text / Printed Matter,https://global.liveglobal.org/%e1%80%99%e1%80%bc%e1%80%94%e1%80%ba%e1%80%99%e1%80%ac%e1%80%a1%e1%80%80%e1%80%b9%e1%80%81%e1%80%9b%e1%80%ac/,https://liveglobal.org/
mya,Text / Printed Matter,https://knowgod.com/my,https://www.cru.org/
mya,Text / Printed Matter,https://www.wmpress.org/read-booklet/,https://www.wmpress.org/read-booklet/languages-produced/
tha,Audio Recordings,https://globalrecordings.net/en/language/tha,https://www.globalrecordings.net
tha,Film / Video,https://www.simplythestory.org/index.php/gods-story-gs/watch-gs?view=category&amp;id=544,https://www.gods-story.org
tha,Film / Video,https://www.jesusfilm.org/watch/jesus.html/thai.html,https://www.jesusfilm.org
tha,Film / Video,https://www.fathersloveletter.com/Thai,https://www.fathersloveletter.com/flllanguages.html
tha,Film / Video,https://www.lumoproject.com/,https://www.lumoproject.com/
tha,Film / Video,https://www.jesusfilm.org/watch/magdalena.html/thai.html,https://www.jesusfilm.org
tha,Film / Video,https://www.jesusfilm.org/watch/my-last-day.html/thai.html,https://www.jesusfilm.org
tha,Film / Video,https://www.jesusfilm.org/watch/rivka.html/in-the-family/thai.html,https://www.jesusfilm.org
tha,Film / Video,https://rockintl.org/rock-video/thai-king-of-glory/,https://rockintl.org/king-of-glory/
tha,Film / Video,https://www.jesusfilm.org/watch/the-story-of-jesus-for-children/thai.html,https://www.jesusfilm.org
tha,Film / Video,https://www.mars-hill.org/the-hope/store/the-hope/grid,https://mars-hill.org/
tha,Film / Video,https://worldchristianvideos.org/language/list?q=All,https://www.worldchristianvideos.org
tha,General,https://bibleforchildren.org/languages/thai/stories.php,https://bibleforchildren.org/
tha,General,https://www.gotquestions.org/Thai/index.html,https://www.gotquestions.org
tha,General,https://live.bible.is/bible/THAKJV,https://www.faithcomesbyhearing.com/
tha,General,https://live.bible.is/bible/THALPF,https://www.faithcomesbyhearing.com/
tha,General,https://live.bible.is/bible/THARTS,https://www.faithcomesbyhearing.com/
tha,General,https://live.bible.is/bible/THATBS,https://www.faithcomesbyhearing.com/
tha,General,https://live.bible.is/bible/THATSV,https://www.faithcomesbyhearing.com/
tha,General,https://www.scriptureearth.org/00i-Scripture_Index.php?iso=tha,https://www.scriptureearth.org
tha,General,https://www.vm1.tv/th/,https://www.persecution.com/
tha,General,https://almassira.org/,https://almassira.org/
tha,General,https://www.bible.com/languages/tha,https://www.bible.com/versions
tha,General,https://zume.life/resources-th/,https://zume.life/
tha,General,https://zume.training/th/,https://zume.life/
tha,Mobile App,https://play.google.com/store/apps/details?id=com.sirma.mobile.bible.android&hl=th,https://www.bible.com/versions
tha,Mobile App,https://play.google.com/store/apps/details?id=com.biblica.thai,https://play.google.com/store/apps/dev?id=7933427918774029013
tha,Mobile App,https://play.google.com/store/apps/details?id=org.bibleleague.bible.thai,https://www.wbtc.com
tha,Mobile App,https://play.google.com/store/apps/details?id=net.globalrecordings.kowd,https://www.faithcomesbyhearing.com/
tha,Mobile App,https://apk.fcbh.org/Thai,https://www.faithcomesbyhearing.com/
tha,Mobile App,https://play.google.com/store/apps/details?id=org.fcbh.thatsv.n2.n,https://www.faithcomesbyhearing.com/
tha,Mobile App,https://itunes.apple.com/app/bible/id282935706,https://www.bible.com/versions
tha,Mobile App,https://apps.apple.com/us/app/%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%84%E0%B8%A3-%E0%B8%AA%E0%B8%95%E0%B8%98%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%84-%E0%B8%A1%E0%B8%A0-%E0%B8%A3-%E0%B8%82%E0%B8%88%E0%B8%87/id1359464758,https://www.wbtc.com
